district id,precinct
00,87.01
00,87.02
00,87.03
00,87.04
00,87.05
00,87.06
00,87.07
00,87.08
00,87.09
00,87.10
00,87.11
00,87.12
00,87.13
00,87.14
00,87.15
00,87.16
00,87.17
00,87.18
00,87.19
00,87.20
00,87.21
00,87.22
00,87.23
00,87.24
00,87.25
00,87.26
00,87.27
00,87.28
00,87.29
00,87.30
00,87.31
00,87.32
00,87.33
00,87.34
00,87.35
00,87.36
00,87.37
00,87.38
00,87.39
00,87.40
00,87.41
00,87.42
00,87.43
00,87.44
00,87.45
00,87.46
00,87.47
00,87.48
00,87.49
00,87.50
00,87.51
00,87.52
00,87.53
00,87.55
00,87.56
00,87.58
00,87.59
